filename,status,volume_rate(%),duration(s),memory(KB)
br05_097.json,partial,84.46,0.002,228
br05_098.json,partial,79.26,0.003,199
br05_099.json,partial,84.48,0.002,213
br05_100.json,partial,83.20,0.002,223
br06_001.json,partial,82.02,0.001,231
br06_002.json,partial,86.00,0.003,261
br06_003.json,partial,82.70,0.002,241
br06_004.json,partial,85.91,0.003,238
br06_005.json,partial,79.94,0.003,239
br06_006.json,partial,80.16,0.003,231
br06_007.json,partial,80.74,0.002,196
br06_008.json,partial,85.77,0.001,194
br06_009.json,partial,81.73,0.002,201
br06_010.json,partial,79.88,0.003,234
br06_011.json,partial,85.20,0.002,230
br06_012.json,partial,81.80,0.002,197
br06_013.json,partial,83.38,0.008,327
br06_014.json,partial,83.75,0.003,223
br06_015.json,partial,85.51,0.002,175
br06_016.json,partial,86.97,0.002,211
br06_017.json,partial,84.16,0.002,211
br06_018.json,partial,83.92,0.001,158
br06_019.json,partial,83.62,0.002,215
br06_020.json,partial,85.03,0.002,235
br06_021.json,partial,79.97,0.002,211
br06_022.json,partial,82.11,0.002,213
br06_023.json,partial,88.87,0.001,210
br06_024.json,partial,84.10,0.001,185
br06_025.json,partial,73.09,0.003,211
br06_026.json,partial,79.21,0.004,276
br06_027.json,partial,82.67,0.002,197
br06_028.json,partial,81.19,0.003,264
br06_029.json,partial,80.23,0.003,218
br06_030.json,partial,82.30,0.003,205
br06_031.json,partial,80.42,0.004,265
br06_032.json,partial,81.36,0.002,237
br06_033.json,partial,86.50,0.003,237
br06_034.json,partial,83.58,0.002,205
br06_035.json,partial,81.92,0.004,256
br06_036.json,partial,85.78,0.002,207
br06_037.json,partial,83.87,0.001,204
br06_038.json,partial,85.40,0.002,222
br06_039.json,partial,79.84,0.007,302
br06_040.json,partial,80.44,0.002,181
br06_041.json,partial,79.73,0.002,194
br06_042.json,partial,79.49,0.002,203
br06_043.json,partial,83.20,0.002,189
br06_044.json,partial,83.47,0.002,245
br06_045.json,partial,81.91,0.004,267
br06_046.json,partial,83.25,0.001,200
br06_047.json,partial,79.27,0.003,244
br06_048.json,partial,81.67,0.002,197
br06_049.json,partial,87.24,0.001,204
br06_050.json,partial,84.34,0.003,250
br06_051.json,partial,84.33,0.004,309
br06_052.json,partial,81.46,0.002,233
br06_053.json,partial,81.93,0.002,200
br06_054.json,partial,78.16,0.003,257
br06_055.json,partial,78.24,0.003,234
br06_056.json,partial,83.95,0.003,253
br06_057.json,partial,81.67,0.002,170
br06_058.json,partial,85.90,0.001,210
br06_059.json,partial,82.98,0.002,205
br06_060.json,partial,80.88,0.002,223
br06_061.json,partial,85.32,0.002,195
br06_062.json,partial,82.33,0.002,198
br06_063.json,partial,83.41,0.002,193
br06_064.json,partial,83.36,0.002,220
br06_065.json,partial,83.21,0.003,251
br06_066.json,partial,82.91,0.002,193
br06_067.json,partial,79.67,0.003,249
br06_068.json,partial,82.14,0.001,198
br06_069.json,partial,81.21,0.005,273
br06_070.json,partial,75.56,0.002,176
br06_071.json,partial,83.35,0.002,236
br06_072.json,partial,82.97,0.002,229
br06_073.json,partial,80.57,0.002,189
br06_074.json,partial,77.54,0.001,172
br06_075.json,partial,85.49,0.002,202
br06_076.json,partial,85.65,0.002,205
br06_077.json,partial,79.33,0.004,270
br06_078.json,partial,80.04,0.003,260
br06_079.json,partial,82.18,0.003,295
br06_080.json,partial,79.23,0.003,262
br06_081.json,partial,77.58,0.001,150
br06_082.json,partial,84.54,0.002,242
br06_083.json,partial,78.85,0.003,210
br06_084.json,partial,85.55,0.002,229
br06_085.json,partial,84.59,0.002,224
br06_086.json,partial,80.23,0.003,228
br06_087.json,partial,90.01,0.001,212
br06_088.json,partial,83.87,0.004,293
br06_089.json,partial,81.84,0.002,171
br06_090.json,partial,83.27,0.001,152
br06_091.json,partial,81.27,0.002,225
br06_092.json,partial,85.41,0.002,188
br06_093.json,partial,83.18,0.001,160
