filename,status,volume_rate(%),duration(s),memory(KB)
br04_079.json,partial,87.03,0.009,454
br04_080.json,partial,77.25,0.002,254
br04_081.json,partial,80.12,0.002,214
br04_082.json,partial,80.46,0.004,321
br04_083.json,partial,79.44,0.003,266
br04_084.json,partial,86.42,0.003,254
br04_085.json,partial,85.60,0.002,281
br04_086.json,partial,80.46,0.003,307
br04_087.json,partial,84.34,0.002,230
br04_088.json,partial,77.13,0.005,346
br04_089.json,partial,83.54,0.001,196
br04_090.json,partial,81.77,0.001,199
br04_091.json,partial,84.69,0.003,268
br04_092.json,partial,85.93,0.001,205
br04_093.json,partial,76.83,0.001,177
br04_094.json,partial,84.75,0.003,277
br04_095.json,partial,77.98,0.003,358
br04_096.json,partial,85.63,0.003,292
br04_097.json,partial,82.67,0.003,304
br04_098.json,partial,82.93,0.002,243
br04_099.json,partial,83.62,0.002,254
br04_100.json,partial,83.42,0.003,306
br05_001.json,partial,82.46,0.001,227
br05_002.json,partial,84.70,0.003,296
br05_003.json,partial,80.33,0.003,279
br05_004.json,partial,84.91,0.003,298
br05_005.json,partial,86.03,0.002,277
br05_006.json,partial,81.64,0.003,295
br05_007.json,partial,79.92,0.003,276
br05_008.json,partial,82.19,0.001,223
br05_009.json,partial,83.94,0.003,276
br05_010.json,partial,85.30,0.002,286
br05_011.json,partial,82.42,0.002,310
br05_012.json,partial,79.62,0.002,228
br05_013.json,partial,83.89,0.007,382
br05_014.json,partial,84.30,0.002,255
br05_015.json,partial,82.08,0.002,227
br05_016.json,partial,81.40,0.002,243
br05_017.json,partial,84.91,0.002,241
br05_018.json,partial,84.08,0.001,196
br05_019.json,partial,84.69,0.003,308
br05_020.json,partial,84.27,0.003,280
br05_021.json,partial,82.36,0.002,269
br05_022.json,partial,86.07,0.002,271
br05_023.json,partial,81.23,0.002,300
br05_024.json,partial,82.48,0.002,243
br05_025.json,partial,74.07,0.003,283
br05_026.json,partial,84.77,0.005,334
br05_027.json,partial,86.42,0.002,258
br05_028.json,partial,76.57,0.004,359
br05_029.json,partial,85.40,0.002,253
br05_030.json,partial,83.96,0.003,272
br05_031.json,partial,79.38,0.003,313
br05_032.json,partial,78.46,0.004,325
br05_033.json,partial,85.63,0.003,289
br05_034.json,partial,82.02,0.002,241
br05_035.json,partial,82.76,0.003,309
br05_036.json,partial,84.46,0.002,248
br05_037.json,partial,83.83,0.002,251
br05_038.json,partial,85.82,0.002,260
br05_039.json,partial,83.97,0.008,381
br05_040.json,partial,79.55,0.002,230
br05_041.json,partial,82.49,0.002,261
br05_042.json,partial,80.69,0.002,242
br05_043.json,partial,85.00,0.002,257
br05_044.json,partial,79.15,0.002,288
br05_045.json,partial,83.46,0.005,354
br05_046.json,partial,84.04,0.002,229
br05_047.json,partial,79.98,0.003,305
br05_048.json,partial,81.31,0.002,236
br05_049.json,partial,87.62,0.001,250
br05_050.json,partial,85.45,0.005,351
br05_051.json,partial,82.48,0.005,401
br05_052.json,partial,82.32,0.002,290
br05_053.json,partial,84.00,0.002,249
br05_054.json,partial,81.14,0.004,371
br05_055.json,partial,81.89,0.003,274
br05_056.json,partial,81.43,0.009,446
br05_057.json,partial,80.87,0.002,202
br05_058.json,partial,85.61,0.002,255
br05_059.json,partial,81.47,0.004,313
br05_060.json,partial,81.93,0.002,271
br05_061.json,partial,83.32,0.002,227
br05_062.json,partial,82.57,0.003,258
br05_063.json,partial,82.72,0.002,236
br05_064.json,partial,86.40,0.002,260
br05_065.json,partial,84.15,0.004,309
br05_066.json,partial,83.26,0.002,237
br05_067.json,partial,74.86,0.003,268
br05_068.json,partial,86.85,0.001,253
br05_069.json,partial,83.61,0.004,330
br05_070.json,partial,75.61,0.002,223
br05_071.json,partial,82.73,0.003,292
br05_072.json,partial,82.94,0.002,284
br05_073.json,partial,81.78,0.002,252
br05_074.json,partial,77.92,0.002,221
br05_075.json,partial,81.71,0.002,246
br05_076.json,partial,80.16,0.002,216
br05_077.json,partial,80.92,0.005,356
br05_078.json,partial,81.47,0.004,337
br05_079.json,partial,82.51,0.006,384
br05_080.json,partial,79.19,0.002,286
br05_081.json,partial,81.51,0.002,218
br05_082.json,partial,83.49,0.002,277
br05_083.json,partial,78.98,0.002,259
br05_084.json,partial,86.82,0.003,280
br05_085.json,partial,88.20,0.002,279
br05_086.json,partial,79.59,0.002,259
br05_087.json,partial,86.77,0.002,246
br05_088.json,partial,79.87,0.004,340
br05_089.json,partial,78.67,0.002,187
br05_090.json,partial,77.88,0.001,207
br05_091.json,partial,85.91,0.003,295
br05_092.json,partial,84.36,0.002,243
br05_093.json,partial,78.27,0.002,184
br05_094.json,partial,84.32,0.003,264
br05_095.json,partial,71.78,0.004,345
br05_096.json,partial,83.22,0.003,320
br05_097.json,partial,84.46,0.002,286
br05_098.json,partial,79.26,0.003,256
br05_099.json,partial,84.48,0.002,270
br05_100.json,partial,83.20,0.002,280
br06_001.json,partial,82.02,0.002,289
br06_002.json,partial,86.00,0.003,327
br06_003.json,partial,82.70,0.002,302
br06_004.json,partial,85.91,0.003,302
br06_005.json,partial,79.94,0.003,303
br06_006.json,partial,80.16,0.003,293
br06_007.json,partial,80.74,0.002,252
br06_008.json,partial,85.77,0.002,244
br06_009.json,partial,81.73,0.003,258
br06_010.json,partial,79.88,0.003,298
br06_011.json,partial,85.20,0.002,289
br06_012.json,partial,81.80,0.002,253
br06_013.json,partial,83.38,0.008,410
br06_014.json,partial,83.75,0.003,287
br06_015.json,partial,85.51,0.002,223
br06_016.json,partial,86.97,0.002,268
br06_017.json,partial,84.16,0.002,267
br06_018.json,partial,83.92,0.001,203
br06_019.json,partial,83.62,0.002,274
br06_020.json,partial,85.03,0.003,296
br06_021.json,partial,79.97,0.002,268
br06_022.json,partial,82.11,0.002,272
br06_023.json,partial,88.87,0.004,264
br06_024.json,partial,84.10,0.001,236
br06_025.json,partial,73.09,0.003,272
br06_026.json,partial,79.21,0.005,347
br06_027.json,partial,82.67,0.002,255
br06_028.json,partial,81.19,0.003,331
br06_029.json,partial,80.23,0.003,279
br06_030.json,partial,82.30,0.003,265
br06_031.json,partial,80.42,0.004,334
br06_032.json,partial,81.36,0.003,301
br06_033.json,partial,86.50,0.003,299
br06_034.json,partial,83.58,0.002,258
br06_035.json,partial,81.92,0.004,323
br06_036.json,partial,85.78,0.002,260
br06_037.json,partial,83.87,0.002,255
br06_038.json,partial,85.40,0.002,281
br06_039.json,partial,79.84,0.006,379
br06_040.json,partial,80.44,0.002,231
br06_041.json,partial,79.73,0.002,253
br06_042.json,partial,79.49,0.002,260
br06_043.json,partial,83.20,0.002,241
br06_044.json,partial,83.47,0.002,307
br06_045.json,partial,81.91,0.004,335
br06_046.json,partial,83.25,0.002,252
br06_047.json,partial,79.27,0.003,309
br06_048.json,partial,81.67,0.002,249
br06_049.json,partial,87.24,0.002,255
br06_050.json,partial,84.34,0.003,314
br06_051.json,partial,84.33,0.005,383
br06_052.json,partial,81.46,0.002,294
br06_053.json,partial,81.93,0.002,258
br06_054.json,partial,78.16,0.003,327
br06_055.json,partial,78.24,0.003,298
br06_056.json,partial,83.95,0.003,319
br06_057.json,partial,81.67,0.002,223
br06_058.json,partial,85.90,0.002,264
br06_059.json,partial,82.98,0.002,262
br06_060.json,partial,80.88,0.002,282
br06_061.json,partial,85.32,0.002,248
br06_062.json,partial,82.33,0.002,254
br06_063.json,partial,83.41,0.002,247
br06_064.json,partial,83.36,0.002,277
br06_065.json,partial,83.21,0.003,319
br06_066.json,partial,82.91,0.002,248
br06_067.json,partial,79.67,0.003,315
br06_068.json,partial,82.14,0.002,249
br06_069.json,partial,81.21,0.005,344
br06_070.json,partial,75.56,0.002,228
br06_071.json,partial,83.35,0.003,297
br06_072.json,partial,82.97,0.002,288
br06_073.json,partial,80.57,0.002,243
br06_074.json,partial,77.54,0.002,221
br06_075.json,partial,85.49,0.002,259
br06_076.json,partial,85.65,0.002,261
br06_077.json,partial,79.33,0.004,339
br06_078.json,partial,80.04,0.004,328
br06_079.json,partial,82.18,0.003,366
br06_080.json,partial,79.23,0.005,330
br06_081.json,partial,77.58,0.002,196
br06_082.json,partial,84.54,0.003,303
br06_083.json,partial,78.85,0.003,269
br06_084.json,partial,85.55,0.002,289
br06_085.json,partial,84.59,0.002,282
br06_086.json,partial,80.23,0.003,289
br06_087.json,partial,90.01,0.001,263
br06_088.json,partial,83.87,0.004,365
br06_089.json,partial,81.84,0.002,220
br06_090.json,partial,83.27,0.001,196
br06_091.json,partial,81.27,0.004,282
br06_092.json,partial,85.41,0.002,242
br06_093.json,partial,83.18,0.001,204
