filename,volume_rate(%),duration(s),memory(KB)
br06_087.json,84.72,0.020,148
br06_088.json,79.64,0.025,194
br06_089.json,81.15,0.017,143
br06_090.json,78.76,0.018,132
br06_091.json,83.01,0.018,159
br06_092.json,86.24,0.016,152
br06_093.json,77.81,0.020,133
br06_094.json,84.11,0.021,173
br06_095.json,76.87,0.021,183
br06_096.json,81.35,0.020,167
br06_097.json,83.13,0.020,174
br06_098.json,79.71,0.023,179
br06_099.json,83.24,0.021,156
br06_100.json,83.91,0.017,173
br07_001.json,84.81,0.017,155
br07_002.json,82.83,0.022,172
br07_003.json,78.19,0.018,166
br07_004.json,81.81,0.022,188
br07_005.json,82.73,0.018,165
br07_006.json,81.61,0.021,190
br07_007.json,82.16,0.018,154
br07_008.json,81.03,0.018,161
br07_009.json,77.17,0.018,172
br07_010.json,81.53,0.026,176
br07_011.json,83.15,0.023,181
br07_012.json,82.70,0.022,184
br07_013.json,83.04,0.025,200
br07_014.json,85.24,0.019,161
br07_015.json,83.11,0.022,160
br07_016.json,82.42,0.024,160
br07_017.json,82.42,0.020,165
br07_018.json,79.70,0.021,150
br07_019.json,81.33,0.020,176
br07_020.json,81.26,0.023,172
br07_021.json,83.98,0.026,174
br07_022.json,85.05,0.018,173
br07_023.json,83.43,0.024,191
br07_024.json,83.98,0.013,151
br07_025.json,75.21,0.020,172
br07_026.json,80.84,0.023,186
br07_027.json,84.40,0.022,162
br07_028.json,82.08,0.025,182
br07_029.json,82.44,0.019,160
br07_030.json,72.33,0.023,181
br07_031.json,75.91,0.023,193
br07_032.json,82.33,0.022,185
br07_033.json,81.16,0.021,181
br07_034.json,79.08,0.020,152
br07_035.json,80.72,0.022,194
br07_036.json,82.15,0.022,175
br07_037.json,81.35,0.020,148
br07_038.json,83.16,0.022,162
br07_039.json,82.12,0.025,198
br07_040.json,79.84,0.018,161
br07_041.json,83.96,0.019,167
br07_042.json,79.46,0.018,154
br07_043.json,79.30,0.019,145
br07_044.json,78.16,0.024,190
br07_045.json,81.50,0.022,179
br07_046.json,79.37,0.019,159
br07_047.json,79.92,0.020,186
br07_048.json,75.52,0.021,157
br07_049.json,84.57,0.021,173
br07_050.json,83.48,0.022,185
br07_051.json,84.54,0.025,197
br07_052.json,79.28,0.019,178
br07_053.json,82.51,0.021,163
br07_054.json,78.51,0.022,181
br07_055.json,81.35,0.023,181
